,RB090_COMPONENT,RB090_DATE_OUT-RB090_DATE_IN
43807,OUTSOLE,293.0572222
43817,OUTSOLE,293.03
43818,OUTSOLE,293.03
43798,OUTSOLE,293.015
43799,OUTSOLE,292.9602778
43810,OUTSOLE,292.9408333
43811,OUTSOLE,292.9408333
43831,OUTSOLE,292.9216667
43819,OUTSOLE,292.8758333
40317,OUTSOLE,292.8466667
43846,OUTSOLE,292.8425
43827,OUTSOLE,292.8208333
43829,OUTSOLE,292.8208333
43882,OUTSOLE,292.7855556
43883,OUTSOLE,292.7855556
43828,OUTSOLE,292.7786111
42524,OUTSOLE,292.6772222
42688,OUTSOLE,292.6305556
42610,OUTSOLE,292.6208333
42595,OUTSOLE,292.6080556
42692,OUTSOLE,292.5952778
43879,OUTSOLE,292.5675
42693,OUTSOLE,292.5602778
42690,OUTSOLE,292.5191667
42691,OUTSOLE,292.5191667
42694,OUTSOLE,292.4933333
42695,OUTSOLE,292.4683333
42234,OUTSOLE,292.4294444
33111,OUTSOLE,292.4261111
42428,OUTSOLE,292.4258333
42434,OUTSOLE,292.3947222
42435,OUTSOLE,292.3891667
42424,OUTSOLE,292.3238889
42425,OUTSOLE,292.3083333
42444,OUTSOLE,292.3077778
42423,OUTSOLE,292.2988889
42426,OUTSOLE,292.2988889
33188,OUTSOLE,292.2597222
42431,OUTSOLE,292.2561111
43776,OUTSOLE,292.2336111
42440,OUTSOLE,292.2258333
42443,OUTSOLE,292.2180556
39259,OUTSOLE,292.1152778
8485,OUTSOLE,292.0955556
15037,OUTSOLE,291.66
14058,OUTSOLE,291.6269444
34749,OUTSOLE,291.5936111
33190,OUTSOLE,291.5527778
19094,OUTSOLE,291.5438889
19095,OUTSOLE,291.5438889
40688,OUTSOLE,291.5066667
38026,OUTSOLE,291.4394444
32440,OUTSOLE,291.4386111
40845,OUTSOLE,291.4344444
40693,OUTSOLE,291.4047222
32762,OUTSOLE,291.3761111
15141,OUTSOLE,291.2286111
15140,OUTSOLE,291.2252778
27652,OUTSOLE,291.1566667
31584,OUTSOLE,291.1375
40965,OUTSOLE,291.0433333
41116,OUTSOLE,290.9805556
41123,OUTSOLE,290.9491667
40963,OUTSOLE,290.9380556
40968,OUTSOLE,290.9302778
35514,OUTSOLE,290.8491667
39405,OUTSOLE,290.8136111
27968,OUTSOLE,290.7966667
27969,OUTSOLE,290.7966667
15124,OUTSOLE,290.7083333
36622,OUTSOLE,290.6955556
15139,OUTSOLE,290.69
32405,OUTSOLE,290.6697222
13742,OUTSOLE,290.6455556
32406,OUTSOLE,290.5713889
29320,OUTSOLE,290.5291667
15137,OUTSOLE,290.4680556
29339,OUTSOLE,290.4383333
29340,OUTSOLE,290.4383333
1863,OUTSOLE,289.9319444
14148,OUTSOLE,289.6291667
42463,OUTSOLE,289.6058333
40689,OUTSOLE,289.365
28345,OUTSOLE,289.3616667
19336,OUTSOLE,289.2511111
42479,OUTSOLE,289.2152778
13808,OUTSOLE,289.0772222
14274,OUTSOLE,288.8827778
14275,OUTSOLE,288.8827778
32872,OUTSOLE,288.8116667
32873,OUTSOLE,288.8116667
35912,OUTSOLE,288.5147222
27109,OUTSOLE,288.1247222
41239,OUTSOLE,287.9008333
28656,OUTSOLE,287.8641667
27977,OUTSOLE,286.9316667
32226,OUTSOLE,286.4822222
10864,OUTSOLE,286.4188889
43751,OUTSOLE,286.3955556
41761,OUTSOLE,286.2047222
42860,OUTSOLE,286.0775
15307,OUTSOLE,286.0188889
32528,OUTSOLE,285.9094444
35448,OUTSOLE,285.8283333
40177,OUTSOLE,285.7838889
3890,OUTSOLE,285.7658333
7887,OUTSOLE,285.7583333
3412,OUTSOLE,285.5791667
15309,OUTSOLE,285.4736111
14363,OUTSOLE,285.4705556
29338,OUTSOLE,285.4688889
43881,OUTSOLE,285.4347222
15310,OUTSOLE,285.43
24319,OUTSOLE,285.4241667
15312,OUTSOLE,285.055
35500,OUTSOLE,284.9369444
40303,OUTSOLE,284.7344444
27013,OUTSOLE,284.7208333
27015,OUTSOLE,284.7
41413,OUTSOLE,284.6927778
3915,OUTSOLE,284.5802778
3916,OUTSOLE,284.5802778
3917,OUTSOLE,284.5802778
43655,OUTSOLE,284.5683333
32386,OUTSOLE,284.5213889
43643,OUTSOLE,284.5127778
15320,OUTSOLE,284.4788889
32479,OUTSOLE,284.4583333
43651,OUTSOLE,284.4541667
43654,OUTSOLE,284.3788889
19078,OUTSOLE,284.2669444
43674,OUTSOLE,284.1886111
25421,OUTSOLE,284.0252778
25425,OUTSOLE,283.9911111
41762,OUTSOLE,283.7702778
33163,OUTSOLE,283.7294444
43707,OUTSOLE,283.6769444
15414,OUTSOLE,283.6383333
15415,OUTSOLE,283.6255556
25852,OUTSOLE,283.4758333
35777,OUTSOLE,283.3208333
43826,OUTSOLE,283.3111111
7973,OUTSOLE,283.3108333
43750,OUTSOLE,283.2972222
14505,OUTSOLE,283.2788889
14506,OUTSOLE,283.2788889
41638,OUTSOLE,283.2405556
19322,OUTSOLE,283.1772222
7980,OUTSOLE,283.1488889
40728,OUTSOLE,283.0305556
41935,OUTSOLE,283.0263889
41936,OUTSOLE,283.0263889
41937,OUTSOLE,283.0263889
15324,OUTSOLE,282.9994444
